city,year,month,season,TMAX_mean,TMAX_max,TMAX_std,TMIN_mean,TMIN_min,TMIN_std,PRCP_sum,SNOW_sum,AWND_mean,TMAX_anomaly_mean,TMIN_anomaly_mean,PRCP_anomaly_sum
Philadelphia,2014,9,Fall,26.02,33.9,4.01,16.75,10.0,3.75,43.0,0.0,3.39,-0.8,-0.22,-45.35
Phoenix,2014,9,Fall,37.34,42.8,3.53,26.01,18.9,2.92,129.9,0.0,2.82,-0.71,0.24,105.84
San Antonio,2014,9,Fall,33.22,37.2,3.67,22.27,17.2,2.85,44.9,0.0,3.47,0.15,0.44,-69.16
San Diego,2014,9,Fall,27.22,33.9,2.62,21.19,17.8,1.53,0.0,0.0,2.71,0.88,1.36,-7.39
Houston,2014,10,Fall,29.35,33.9,2.26,15.99,10.6,3.35,74.9,0.0,2.5,1.02,-0.38,-53.44
Los Angeles,2014,10,Fall,25.1,35.0,3.63,17.08,15.0,1.28,6.1,0.0,2.63,0.05,0.73,2.08
New York,2014,10,Fall,18.82,25.0,3.42,11.89,5.6,3.57,146.7,0.0,2.28,-0.06,0.25,41.23
Philadelphia,2014,10,Fall,19.78,26.1,3.76,11.24,3.9,3.98,64.4,0.0,4.05,-1.06,-0.59,-24.98
Phoenix,2014,10,Fall,33.2,37.2,2.08,20.11,17.8,1.21,3.3,0.0,2.2,1.13,1.5,-16.3
San Antonio,2014,10,Fall,30.73,35.0,2.5,18.45,10.6,4.11,48.6,0.0,3.59,1.85,1.66,-28.92
San Diego,2014,10,Fall,25.89,33.9,3.41,18.34,16.1,1.25,0.0,0.0,1.75,0.85,1.45,-6.47
Houston,2014,11,Fall,19.8,27.8,5.63,8.46,-1.0,5.38,86.3,0.0,3.26,-2.26,-2.12,9.86
Los Angeles,2014,11,Fall,23.1,31.1,3.76,13.48,10.6,1.87,10.7,0.0,2.62,0.79,1.07,-5.38
New York,2014,11,Fall,10.91,20.6,5.59,3.89,-5.5,5.04,114.6,5.0,2.43,-1.76,-1.49,22.68
Philadelphia,2014,11,Fall,11.76,22.2,5.97,2.89,-6.6,4.95,103.5,0.0,4.53,-1.24,-0.64,54.27
Phoenix,2014,11,Fall,25.73,32.2,3.34,12.16,5.6,3.62,0.0,0.0,2.51,-0.06,-0.51,-14.28
San Antonio,2014,11,Fall,19.55,27.2,5.94,8.59,-0.5,5.55,183.1,0.0,3.85,-2.66,-2.42,126.83
San Diego,2014,11,Fall,23.51,32.8,3.53,13.87,10.0,2.34,9.5,0.0,1.76,1.01,1.01,-13.08
Houston,2014,12,Winter,18.43,26.7,5.25,9.3,1.1,4.28,142.2,0.0,3.33,-1.04,0.76,42.29
Los Angeles,2014,12,Winter,18.28,26.1,2.89,10.81,4.4,3.01,102.5,0.0,2.52,-0.97,0.99,31.04
New York,2014,12,Winter,7.3,18.3,4.51,2.2,-4.3,3.02,153.4,25.0,3.04,-0.47,0.45,43.14
Philadelphia,2014,12,Winter,8.41,18.3,4.57,1.72,-3.8,2.8,83.1,3.0,4.44,-0.83,-0.0,-9.1
Phoenix,2014,12,Winter,19.55,25.6,3.83,9.03,1.7,4.16,23.2,0.0,2.03,-0.2,0.97,2.38
San Antonio,2014,12,Winter,18.06,24.4,4.72,9.39,-0.5,4.76,31.6,0.0,3.35,-0.94,1.79,-19.43
San Diego,2014,12,Winter,19.62,25.0,2.78,12.09,6.1,2.77,114.3,0.0,1.81,0.18,2.04,58.55
Chicago,2015,1,Winter,-0.12,10.56,5.58,-8.08,-21.04,6.92,35.9,353.0,4.61,-1.29,-1.01,-16.71
Houston,2015,1,Winter,15.17,27.2,6.59,4.65,-2.1,3.2,80.6,0.0,3.05,-2.6,-1.47,-17.25
Los Angeles,2015,1,Winter,20.43,28.3,4.04,10.49,2.2,3.03,31.7,0.0,1.95,0.85,0.51,-24.78
New York,2015,1,Winter,2.3,13.3,4.31,-4.58,-13.2,4.67,132.7,428.0,3.25,-1.91,-2.04,45.54
Philadelphia,2015,1,Winter,3.25,14.4,4.48,-4.41,-12.7,3.97,114.9,109.0,4.82,-2.03,-1.56,33.98
San Antonio,2015,1,Winter,15.52,27.8,7.25,3.98,-2.1,3.26,93.3,0.0,3.3,-2.37,-1.14,52.75
San Diego,2015,1,Winter,20.78,26.7,3.05,11.23,5.0,2.73,10.7,0.0,1.32,1.16,1.07,-27.16
Chicago,2015,2,Winter,-0.12,10.56,4.98,-8.08,-21.04,5.19,37.0,517.38,4.82,-3.82,-3.98,-17.79
Houston,2015,2,Winter,17.45,28.3,6.59,5.41,-0.5,4.43,16.8,0.0,3.51,-2.26,-3.11,-35.4
Los Angeles,2015,2,Winter,20.39,28.9,3.9,11.86,7.2,2.01,6.9,0.0,2.71,0.88,1.59,-24.93
New York,2015,2,Winter,0.08,10.56,3.81,-8.08,-16.6,4.48,51.9,346.0,3.24,-3.82,-3.98,-45.33
Philadelphia,2015,2,Winter,1.21,10.6,4.88,-7.98,-16.6,4.68,59.9,270.0,4.76,-3.82,-3.98,-24.91
San Antonio,2015,2,Winter,17.22,28.9,7.49,6.28,0.0,4.73,13.4,0.0,3.75,-2.47,-1.1,-18.92
San Diego,2015,2,Winter,21.34,30.0,3.49,13.2,10.6,1.69,7.1,0.0,2.1,1.48,2.49,-19.75
Chicago,2015,3,Spring,6.92,22.8,7.23,-3.09,-17.7,5.77,28.0,180.0,4.4,-1.1,-1.95,-34.09
Houston,2015,3,Spring,22.24,28.3,5.77,11.64,-1.0,4.97,161.0,0.0,3.03,-1.53,-0.49,88.38
Los Angeles,2015,3,Spring,22.92,32.2,4.63,13.17,8.3,2.78,12.5,0.0,2.8,3.13,1.52,-22.44
New York,2015,3,Spring,7.36,16.7,4.36,-0.54,-11.0,4.2,120.1,473.0,2.74,-2.59,-2.28,27.76
